DateTime,True_Value,weekofyear,holiday_week_count,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,season
2007-02-05,280.5831333333333,6,0,251.64951666666667,275.95803333333333,268.11441666666667,240.8904,329.2572666666667,300.28186666666664,113.39103333333333,Winter
2007-02-12,255.02126666666666,7,0,280.5831333333333,251.64951666666667,275.95803333333333,268.11441666666667,240.8904,329.2572666666667,300.28186666666664,Winter
2007-02-19,261.573,8,0,255.02126666666666,280.5831333333333,251.64951666666667,275.95803333333333,268.11441666666667,240.8904,329.2572666666667,Winter
2007-02-26,194.9808,9,0,261.573,255.02126666666666,280.5831333333333,251.64951666666667,275.95803333333333,268.11441666666667,240.8904,Winter
2007-03-05,127.37153333333333,10,0,194.9808,261.573,255.02126666666666,280.5831333333333,251.64951666666667,275.95803333333333,268.11441666666667,Spring
2007-03-12,239.70776666666666,11,0,127.37153333333333,194.9808,261.573,255.02126666666666,280.5831333333333,251.64951666666667,275.95803333333333,Spring
2007-03-19,220.36716666666666,12,0,239.70776666666666,127.37153333333333,194.9808,261.573,255.02126666666666,280.5831333333333,251.64951666666667,Spring
2007-03-26,245.22451666666666,13,0,220.36716666666666,239.70776666666666,127.37153333333333,194.9808,261.573,255.02126666666666,280.5831333333333,Spring
2007-04-02,244.8013,14,0,245.22451666666666,220.36716666666666,239.70776666666666,127.37153333333333,194.9808,261.573,255.02126666666666,Spring
2007-04-09,188.39276666666666,15,1,244.8013,245.22451666666666,220.36716666666666,239.70776666666666,127.37153333333333,194.9808,261.573,Spring
2007-04-16,83.1066,16,0,188.39276666666666,244.8013,245.22451666666666,220.36716666666666,239.70776666666666,127.37153333333333,194.9808,Spring
2007-04-23,150.5859,17,0,83.1066,188.39276666666666,244.8013,245.22451666666666,220.36716666666666,239.70776666666666,127.37153333333333,Spring
2007-04-30,107.62243333333333,18,0,150.5859,83.1066,188.39276666666666,244.8013,245.22451666666666,220.36716666666666,239.70776666666666,Spring
2007-05-07,167.74216666666666,19,1,107.62243333333333,150.5859,83.1066,188.39276666666666,244.8013,245.22451666666666,220.36716666666666,Spring
2007-05-14,161.43586666666667,20,1,167.74216666666666,107.62243333333333,150.5859,83.1066,188.39276666666666,244.8013,245.22451666666666,Spring
2007-05-21,166.30856666666668,21,1,161.43586666666667,167.74216666666666,107.62243333333333,150.5859,83.1066,188.39276666666666,244.8013,Spring
2007-05-28,177.832,22,0,166.30856666666668,161.43586666666667,167.74216666666666,107.62243333333333,150.5859,83.1066,188.39276666666666,Spring
2007-06-04,152.6522,23,0,177.832,166.30856666666668,161.43586666666667,167.74216666666666,107.62243333333333,150.5859,83.1066,Summer
2007-06-11,158.80798333333334,24,0,152.6522,177.832,166.30856666666668,161.43586666666667,167.74216666666666,107.62243333333333,150.5859,Summer
2007-06-18,145.6342,25,0,158.80798333333334,152.6522,177.832,166.30856666666668,161.43586666666667,167.74216666666666,107.62243333333333,Summer
2007-06-25,92.62093333333333,26,0,145.6342,158.80798333333334,152.6522,177.832,166.30856666666668,161.43586666666667,167.74216666666666,Summer
2007-07-02,139.24439999999998,27,0,92.62093333333333,145.6342,158.80798333333334,152.6522,177.832,166.30856666666668,161.43586666666667,Summer
2007-07-09,130.293,28,0,139.24439999999998,92.62093333333333,145.6342,158.80798333333334,152.6522,177.832,166.30856666666668,Summer
2007-07-16,111.38308333333333,29,1,130.293,139.24439999999998,92.62093333333333,145.6342,158.80798333333334,152.6522,177.832,Summer
2007-07-23,111.56054999999999,30,0,111.38308333333333,130.293,139.24439999999998,92.62093333333333,145.6342,158.80798333333334,152.6522,Summer
2007-07-30,97.24419999999999,31,0,111.56054999999999,111.38308333333333,130.293,139.24439999999998,92.62093333333333,145.6342,158.80798333333334,Summer
2007-08-06,116.68488333333333,32,0,97.24419999999999,111.56054999999999,111.38308333333333,130.293,139.24439999999998,92.62093333333333,145.6342,Summer
2007-08-13,136.58863333333332,33,0,116.68488333333333,97.24419999999999,111.56054999999999,111.38308333333333,130.293,139.24439999999998,92.62093333333333,Summer
2007-08-20,120.17556666666667,34,1,136.58863333333332,116.68488333333333,97.24419999999999,111.56054999999999,111.38308333333333,130.293,139.24439999999998,Summer
2007-08-27,138.31176666666667,35,0,120.17556666666667,136.58863333333332,116.68488333333333,97.24419999999999,111.56054999999999,111.38308333333333,130.293,Summer
2007-09-03,143.83586666666667,36,0,138.31176666666667,120.17556666666667,136.58863333333332,116.68488333333333,97.24419999999999,111.56054999999999,111.38308333333333,Autumn
2007-09-10,155.43526666666668,37,0,143.83586666666667,138.31176666666667,120.17556666666667,136.58863333333332,116.68488333333333,97.24419999999999,111.56054999999999,Autumn
2007-09-17,146.03183333333334,38,0,155.43526666666668,143.83586666666667,138.31176666666667,120.17556666666667,136.58863333333332,116.68488333333333,97.24419999999999,Autumn
2007-09-24,148.48646666666667,39,0,146.03183333333334,155.43526666666668,143.83586666666667,138.31176666666667,120.17556666666667,136.58863333333332,116.68488333333333,Autumn
2007-10-01,203.3779,40,0,148.48646666666667,146.03183333333334,155.43526666666668,143.83586666666667,138.31176666666667,120.17556666666667,136.58863333333332,Autumn
2007-10-08,189.15773333333334,41,0,203.3779,148.48646666666667,146.03183333333334,155.43526666666668,143.83586666666667,138.31176666666667,120.17556666666667,Autumn
2007-10-15,195.93483333333333,42,0,189.15773333333334,203.3779,148.48646666666667,146.03183333333334,155.43526666666668,143.83586666666667,138.31176666666667,Autumn
2007-10-22,206.6772,43,0,195.93483333333333,189.15773333333334,203.3779,148.48646666666667,146.03183333333334,155.43526666666668,143.83586666666667,Autumn
2007-10-29,166.00146666666666,44,0,206.6772,195.93483333333333,189.15773333333334,203.3779,148.48646666666667,146.03183333333334,155.43526666666668,Autumn
2007-11-05,125.2144,45,1,166.00146666666666,206.6772,195.93483333333333,189.15773333333334,203.3779,148.48646666666667,146.03183333333334,Autumn
2007-11-12,237.57153333333332,46,1,125.2144,166.00146666666666,206.6772,195.93483333333333,189.15773333333334,203.3779,148.48646666666667,Autumn
2007-11-19,243.029,47,0,237.57153333333332,125.2144,166.00146666666666,206.6772,195.93483333333333,189.15773333333334,203.3779,Autumn
2007-11-26,219.50466666666665,48,0,243.029,237.57153333333332,125.2144,166.00146666666666,206.6772,195.93483333333333,189.15773333333334,Autumn
2007-12-03,272.3388,49,0,219.50466666666665,243.029,237.57153333333332,125.2144,166.00146666666666,206.6772,195.93483333333333,Winter
2007-12-10,245.40746666666666,50,0,272.3388,219.50466666666665,243.029,237.57153333333332,125.2144,166.00146666666666,206.6772,Winter
2007-12-17,250.22183333333334,51,0,245.40746666666666,272.3388,219.50466666666665,243.029,237.57153333333332,125.2144,166.00146666666666,Winter
2007-12-24,267.1623333333333,52,0,250.22183333333334,245.40746666666666,272.3388,219.50466666666665,243.029,237.57153333333332,125.2144,Winter
2007-12-31,316.58186666666666,1,1,267.1623333333333,250.22183333333334,245.40746666666666,272.3388,219.50466666666665,243.029,237.57153333333332,Winter
2008-01-07,231.83416666666668,2,1,316.58186666666666,267.1623333333333,250.22183333333334,245.40746666666666,272.3388,219.50466666666665,243.029,Winter
2008-01-14,253.57215,3,0,231.83416666666668,316.58186666666666,267.1623333333333,250.22183333333334,245.40746666666666,272.3388,219.50466666666665,Winter
2008-01-21,236.02843333333334,4,0,253.57215,231.83416666666668,316.58186666666666,267.1623333333333,250.22183333333334,245.40746666666666,272.3388,Winter
2008-01-28,260.28589999999997,5,0,236.02843333333334,253.57215,231.83416666666668,316.58186666666666,267.1623333333333,250.22183333333334,245.40746666666666,Winter
2008-02-04,240.97328333333334,6,0,260.28589999999997,236.02843333333334,253.57215,231.83416666666668,316.58186666666666,267.1623333333333,250.22183333333334,Winter
2008-02-11,226.49793333333332,7,0,240.97328333333334,260.28589999999997,236.02843333333334,253.57215,231.83416666666668,316.58186666666666,267.1623333333333,Winter
2008-02-18,221.54743333333332,8,0,226.49793333333332,240.97328333333334,260.28589999999997,236.02843333333334,253.57215,231.83416666666668,316.58186666666666,Winter
2008-02-25,189.18583333333333,9,0,221.54743333333332,226.49793333333332,240.97328333333334,260.28589999999997,236.02843333333334,253.57215,231.83416666666668,Winter
2008-03-03,104.3504,10,0,189.18583333333333,221.54743333333332,226.49793333333332,240.97328333333334,260.28589999999997,236.02843333333334,253.57215,Spring
2008-03-10,225.00276666666667,11,0,104.3504,189.18583333333333,221.54743333333332,226.49793333333332,240.97328333333334,260.28589999999997,236.02843333333334,Spring
2008-03-17,215.7531,12,0,225.00276666666667,104.3504,189.18583333333333,221.54743333333332,226.49793333333332,240.97328333333334,260.28589999999997,Spring
2008-03-24,215.0251,13,1,215.7531,225.00276666666667,104.3504,189.18583333333333,221.54743333333332,226.49793333333332,240.97328333333334,Spring
2008-03-31,215.01143333333334,14,0,215.0251,215.7531,225.00276666666667,104.3504,189.18583333333333,221.54743333333332,226.49793333333332,Spring
2008-04-07,196.45526666666666,15,0,215.01143333333334,215.0251,215.7531,225.00276666666667,104.3504,189.18583333333333,221.54743333333332,Spring
2008-04-14,230.906,16,0,196.45526666666666,215.01143333333334,215.0251,215.7531,225.00276666666667,104.3504,189.18583333333333,Spring
2008-04-21,193.78343333333333,17,0,230.906,196.45526666666666,215.01143333333334,215.0251,215.7531,225.00276666666667,104.3504,Spring
2008-04-28,131.11613333333332,18,0,193.78343333333333,230.906,196.45526666666666,215.01143333333334,215.0251,215.7531,225.00276666666667,Spring
2008-05-05,154.59376666666665,19,1,131.11613333333332,193.78343333333333,230.906,196.45526666666666,215.01143333333334,215.0251,215.7531,Spring
2008-05-12,197.90776666666667,20,2,154.59376666666665,131.11613333333332,193.78343333333333,230.906,196.45526666666666,215.01143333333334,215.0251,Spring
2008-05-19,172.77736666666667,21,0,197.90776666666667,154.59376666666665,131.11613333333332,193.78343333333333,230.906,196.45526666666666,215.01143333333334,Spring
2008-05-26,171.427,22,0,172.77736666666667,197.90776666666667,154.59376666666665,131.11613333333332,193.78343333333333,230.906,196.45526666666666,Spring
2008-06-02,165.32916666666665,23,0,171.427,172.77736666666667,197.90776666666667,154.59376666666665,131.11613333333332,193.78343333333333,230.906,Summer
2008-06-09,171.25039999999998,24,0,165.32916666666665,171.427,172.77736666666667,197.90776666666667,154.59376666666665,131.11613333333332,193.78343333333333,Summer
2008-06-16,171.69486666666666,25,0,171.25039999999998,165.32916666666665,171.427,172.77736666666667,197.90776666666667,154.59376666666665,131.11613333333332,Summer
2008-06-23,180.9224,26,0,171.69486666666666,171.25039999999998,165.32916666666665,171.427,172.77736666666667,197.90776666666667,154.59376666666665,Summer
2008-06-30,143.16236666666666,27,0,180.9224,171.69486666666666,171.25039999999998,165.32916666666665,171.427,172.77736666666667,197.90776666666667,Summer
2008-07-07,144.3394,28,0,143.16236666666666,180.9224,171.69486666666666,171.25039999999998,165.32916666666665,171.427,172.77736666666667,Summer
2008-07-14,137.87393333333333,29,1,144.3394,143.16236666666666,180.9224,171.69486666666666,171.25039999999998,165.32916666666665,171.427,Summer
2008-07-21,137.59423333333334,30,0,137.87393333333333,144.3394,143.16236666666666,180.9224,171.69486666666666,171.25039999999998,165.32916666666665,Summer
2008-07-28,107.179,31,0,137.59423333333334,137.87393333333333,144.3394,143.16236666666666,180.9224,171.69486666666666,171.25039999999998,Summer
2008-08-04,112.26231666666666,32,0,107.179,137.59423333333334,137.87393333333333,144.3394,143.16236666666666,180.9224,171.69486666666666,Summer
2008-08-11,47.88643333333333,33,0,112.26231666666666,107.179,137.59423333333334,137.87393333333333,144.3394,143.16236666666666,180.9224,Summer
2008-08-18,32.31413333333333,34,1,47.88643333333333,112.26231666666666,107.179,137.59423333333334,137.87393333333333,144.3394,143.16236666666666,Summer
